<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180920,000000,6386.9500000,6530.0000000,6337.0000000,6493.1100000,6099
20180921,000000,6493.1100000,6777.1000000,6492.5000000,6750.0000000,11061
20180922,000000,6750.0000000,6823.0000000,6628.0100000,6707.3300000,5117
20180923,000000,6707.3400000,6777.0000000,6660.0500000,6696.9900000,3205
20180924,000000,6696.9900000,6716.1600000,6555.9900000,6582.0900000,5173
20180925,000000,6582.0900000,6582.1000000,6320.5000000,6436.8900000,9159
20180926,000000,6435.0000000,6537.2600000,6380.6200000,6455.6600000,5545
20180927,000000,6455.6500000,6734.7900000,6430.0000000,6680.0100000,7519
20180928,000000,6680.0100000,6786.7300000,6528.1300000,6620.0100000,8824
20180929,000000,6620.0100000,6620.0100000,6452.0200000,6581.0000000,4143
20180930,000000,6581.0000000,6642.2800000,6523.0000000,6605.0000000,3408
20181001,000000,6605.0000000,6639.3300000,6474.9000000,6572.8300000,6917
20181002,000000,6572.8300000,6591.3700000,6452.0000000,6498.4600000,5148
20181003,000000,6498.4700000,6507.9500000,6398.9600000,6466.0300000,5895
20181004,000000,6466.0300000,6603.0100000,6454.3800000,6547.4500000,5695
20181005,000000,6547.4500000,6641.0000000,6511.8800000,6593.9400000,2125
20181006,000000,6593.9400000,6594.3900000,6536.0000000,6552.4300000,1176
20181007,000000,6552.4200000,6585.0100000,6491.8100000,6570.0000000,2249
20181008,000000,6569.9900000,6681.1900000,6545.6300000,6608.0700000,5196
20181009,000000,6607.5300000,6612.8600000,6552.5000000,6589.4800000,4379
20181010,000000,6589.4800000,6591.3200000,6445.4800000,6524.5600000,5585
20181011,000000,6524.5600000,6524.5600000,6033.3400000,6154.6900000,20193
20181012,000000,6154.6800000,6235.2000000,6111.9700000,6188.0100000,5268
20181013,000000,6188.0100000,6212.0000000,6178.0000000,6196.0000000,3610
20181014,000000,6196.0100000,6288.4500000,6151.0000000,6183.4900000,3333
20181015,000000,6183.5200000,6810.0000000,6151.5800000,6440.4200000,21003
20181016,000000,6440.4300000,6493.1100000,6375.0000000,6457.1100000,9667
20181017,000000,6457.1000000,6459.9900000,6411.1900000,6443.7000000,5299
20181018,000000,6443.6900000,6489.8300000,6355.0000000,6394.9600000,6994
20181019,000000,6394.9600000,6409.6100000,6353.8600000,6382.9900000,3670
20181020,000000,6382.9900000,6420.0000000,6369.0000000,6414.0000000,3244
20181021,000000,6413.9900000,6452.8700000,6405.5700000,6415.8800000,2339
20181022,000000,6415.8700000,6427.6300000,6377.7700000,6407.6500000,3751
20181023,000000,6407.6400000,6411.5000000,6360.0000000,6395.1400000,3861
20181024,000000,6395.1300000,6471.0000000,6395.1300000,6415.9800000,4980
20181025,000000,6415.9700000,6422.0000000,6377.5000000,6395.5800000,3453
20181026,000000,6395.5800000,6450.0000000,6383.5400000,6404.8700000,3977
20181027,000000,6404.8700000,6421.7600000,6390.0000000,6409.1200000,2191
20181028,000000,6409.1100000,6415.0000000,6380.0100000,6403.6200000,1880
20181029,000000,6403.6300000,6414.9900000,6211.0000000,6266.0000000,6553
20181030,000000,6266.0000000,6289.0000000,6240.5400000,6267.6300000,3834
20181031,000000,6267.6300000,6353.2400000,6201.6700000,6304.1800000,4965
20181101,000000,6304.1800000,6360.0000000,6293.4400000,6344.0000000,4175
20181102,000000,6344.0000000,6378.7700000,6333.9400000,6349.8000000,3970
20181103,000000,6349.8000000,6351.7000000,6315.9100000,6331.9600000,2412
20181104,000000,6331.9600000,6464.1500000,6313.1700000,6423.2800000,3806
20181105,000000,6423.2900000,6439.9900000,6372.0000000,6404.0000000,3773
20181106,000000,6404.0000000,6449.6500000,6387.8200000,6448.5000000,5177
20181107,000000,6448.5000000,6540.0000000,6448.5000000,6503.1200000,5603
20181108,000000,6503.1200000,6511.8800000,6388.0000000,6406.2400000,5083
20181109,000000,6406.2400000,6415.0000000,6305.0000000,6334.8900000,4387
20181110,000000,6334.8900000,6374.0000000,6327.4600000,6347.4200000,2209
20181111,000000,6347.4200000,6360.0000000,6271.1500000,6357.6000000,2144
20181112,000000,6357.6000000,6383.5900000,6305.9500000,6327.8700000,3455
20181113,000000,6327.8700000,6328.2200000,6252.5000000,6259.3400000,4457
20181114,000000,6259.3500000,6293.3800000,5280.9300000,5605.4600000,31805
20181115,000000,5605.0100000,5645.0000000,5188.0000000,5579.5200000,21192
20181116,000000,5579.5000000,5609.9100000,5410.0000000,5512.2400000,8889
20181117,000000,5512.2600000,5544.0000000,5450.8300000,5504.1700000,4551
20181118,000000,5503.3400000,5665.0000000,5503.3400000,5560.0000000,4483
20181119,000000,5560.0000000,5560.0000000,4670.0500000,4733.5000000,39772
20181120,000000,4736.6700000,4889.0000000,4035.0000000,4349.2300000,64689
20181121,000000,4349.2400000,4627.5500000,4239.0100000,4545.1100000,27240
20181122,000000,4545.1200000,4589.0000000,4238.6900000,4265.3600000,11469
20181123,000000,4268.1800000,4366.0500000,4085.7300000,4283.8000000,19141
20181124,000000,4283.8000000,4370.7800000,3650.8400000,3774.9900000,19499
20181125,000000,3775.0000000,4120.0000000,3456.7800000,3936.6900000,37562
20181126,000000,3936.7000000,4076.2500000,3508.0000000,3731.3200000,35226
20181127,000000,3731.0100000,3830.0000000,3562.9000000,3775.0000000,22958
20181128,000000,3775.0100000,4365.0000000,3775.0000000,4225.0300000,34972
20181129,000000,4224.8600000,4414.8900000,4077.8800000,4248.0000000,20097
20181130,000000,4247.9900000,4297.7100000,3869.0000000,3976.0000000,19478
20181201,000000,3976.0100000,4277.0000000,3910.0800000,4142.0100000,10131
20181202,000000,4142.0100000,4266.0000000,4036.0000000,4103.1900000,10704
20181203,000000,4102.8000000,4119.9800000,3741.9500000,3833.4700000,16555
20181204,000000,3833.4700000,4035.1000000,3732.4300000,3901.8400000,16546
20181205,000000,3901.8400000,3912.5300000,3660.0000000,3694.3900000,14303
20181206,000000,3694.3900000,3849.0000000,3401.0000000,3433.2600000,25946
20181207,000000,3433.3000000,3550.0000000,3212.0000000,3380.0100000,37108
20181208,000000,3380.0000000,3495.0000000,3253.6600000,3401.0000000,12799
20181209,000000,3401.0000000,3642.5100000,3367.7900000,3531.1800000,11241
20181210,000000,3531.1800000,3590.7100000,3354.9700000,3410.1500000,13094
20181211,000000,3410.1500000,3424.9200000,3293.4900000,3349.3600000,10723
20181212,000000,3350.2700000,3486.1600000,3325.5800000,3430.2400000,10012
20181213,000000,3430.2400000,3439.6300000,3227.9600000,3265.0000000,13655
20181214,000000,3265.0000000,3294.9000000,3135.0000000,3195.7100000,13735
20181215,000000,3195.7100000,3228.6900000,3128.8900000,3183.0000000,8755
20181216,000000,3183.0100000,3258.0000000,3181.2400000,3195.0000000,6821
20181217,000000,3194.9900000,3585.9500000,3184.2800000,3496.8200000,21146
20181218,000000,3497.1000000,3688.0000000,3436.5000000,3667.7700000,15042
20181219,000000,3667.7600000,3928.1500000,3637.1700000,3715.2100000,27601
20181220,000000,3682.5100000,4175.0000000,3661.5000000,4075.3400000,29786
20181221,000000,4075.3300000,4162.2700000,3775.0000000,3839.0600000,22960
20181222,000000,3839.2600000,4005.0000000,3790.1600000,3980.4600000,8777
20181223,000000,3981.2400000,4050.0000000,3903.6000000,3944.9300000,9727
20181224,000000,3944.9200000,4239.3700000,3944.9200000,4034.0000000,19280
20181225,000000,4034.0000000,4045.4100000,3675.8600000,3780.0000000,13273
20181226,000000,3780.0000000,3849.2000000,3685.0200000,3809.8800000,8826
20181227,000000,3809.8800000,3841.2100000,3567.0000000,3589.8900000,12926
20181228,000000,3589.8900000,3971.5800000,3576.1200000,3888.0600000,16390
20181229,000000,3887.5800000,3944.3300000,3706.0000000,3729.3100000,8151
20181230,000000,3729.3100000,3863.0600000,3691.0100000,3829.0000000,8269
20181231,000000,3829.0000000,3835.4000000,3625.0000000,3691.8600000,12099
20190101,000000,3691.8700000,3841.1700000,3651.0200000,3826.1000000,9606
20190102,000000,3826.1000000,3916.5700000,3770.0700000,3890.7900000,9236
20190103,000000,3890.8000000,3893.8000000,3758.0700000,3787.5700000,8968
20190104,000000,3787.5700000,3849.0000000,3730.0000000,3820.8200000,8913
20190105,000000,3820.8200000,3874.1200000,3775.0000000,3798.6200000,5790
20190106,000000,3799.9900000,4088.0000000,3756.0100000,4040.9900000,9483
20190107,000000,4040.9800000,4070.0000000,3968.7900000,4006.0100000,9548
20190108,000000,4005.9700000,4114.8000000,3943.3600000,3993.8600000,13498
20190109,000000,3993.8500000,4042.2000000,3962.1200000,4004.1200000,10343
20190110,000000,4004.1300000,4035.2100000,3560.0000000,3626.1200000,21330
20190111,000000,3626.1200000,3699.9900000,3576.0000000,3635.6900000,13241
20190112,000000,3634.7300000,3649.1800000,3557.2900000,3619.4100000,5435
20190113,000000,3619.3800000,3641.8600000,3481.5400000,3514.2400000,7749
20190114,000000,3514.2400000,3711.1100000,3509.2400000,3664.1900000,10864
20190115,000000,3664.1800000,3684.3800000,3538.6300000,3580.7600000,10405
20190116,000000,3580.1900000,3666.7300000,3572.5200000,3609.7100000,8468
20190117,000000,3609.7100000,3657.0000000,3541.0000000,3640.6500000,8567
20190118,000000,3640.6400000,3643.6900000,3580.1600000,3607.8500000,5660
20190119,000000,3607.8500000,3765.9000000,3604.9000000,3682.6500000,5777
20190120,000000,3683.5000000,3703.3900000,3481.0100000,3536.1900000,7024
20190121,000000,3537.5600000,3568.9500000,3487.3700000,3531.7600000,5905
20190122,000000,3531.7500000,3611.5000000,3425.0000000,3577.0300000,9327
20190123,000000,3577.0400000,3614.4700000,3523.6400000,3553.0100000,7851
20190124,000000,3553.0100000,3595.8300000,3530.1000000,3568.9700000,5507
20190125,000000,3568.9700000,3578.7900000,3510.0100000,3562.1700000,6596
20190126,000000,3562.1700000,3657.7600000,3540.0000000,3556.0700000,5355
20190127,000000,3556.0700000,3562.9000000,3470.1400000,3531.0200000,3975
20190128,000000,3531.0200000,3535.9200000,3374.0100000,3429.9500000,13405
20190129,000000,3429.9500000,3438.4000000,3337.8700000,3397.4200000,8322
20190130,000000,3395.7400000,3459.4100000,3372.9700000,3437.5500000,7985
20190131,000000,3437.5500000,3473.4000000,3396.7400000,3411.5000000,7037
20190201,000000,3411.5000000,3458.2600000,3369.6200000,3437.5000000,8355
20190202,000000,3437.5000000,3483.2500000,3414.4900000,3468.4300000,3594
20190203,000000,3468.4300000,3471.7600000,3386.4500000,3414.7800000,4160
20190204,000000,3415.6900000,3435.0000000,3395.1000000,3409.5700000,5630
20190205,000000,3409.5700000,3429.4600000,3400.0000000,3428.4000000,5913
20190206,000000,3428.4100000,3441.0000000,3340.8000000,3367.3600000,9292
20190207,000000,3366.0000000,3383.1400000,3352.0100000,3359.0000000,8360
20190208,000000,3358.9900000,3711.0000000,3344.0000000,3621.9900000,17251
20190209,000000,3622.0000000,3644.0800000,3597.0000000,3623.7300000,4899
20190210,000000,3623.7300000,3654.2800000,3578.5900000,3648.8400000,4610
20190211,000000,3648.8500000,3652.0000000,3579.3800000,3590.3600000,8413
20190212,000000,3590.3600000,3618.7700000,3550.0000000,3588.0600000,8047
20190213,000000,3588.0600000,3627.9900000,3562.9800000,3576.6800000,6710
20190214,000000,3576.6900000,3589.0000000,3535.1000000,3561.5000000,5918
20190215,000000,3561.4900000,3620.2200000,3545.8900000,3566.5900000,7187
20190216,000000,3566.5900000,3607.3600000,3565.5000000,3582.3700000,4035
20190217,000000,3582.3700000,3675.0000000,3557.4300000,3625.0800000,5717
20190218,000000,3625.0800000,3917.0000000,3616.1800000,3867.0000000,16512
20190219,000000,3867.0000000,3969.5400000,3841.5400000,3888.0100000,14383
20190220,000000,3888.3700000,3967.1900000,3867.1300000,3938.9900000,8402
20190221,000000,3939.0000000,3988.0000000,3869.4500000,3897.7100000,8521
20190222,000000,3897.7100000,3956.4300000,3886.1500000,3942.0200000,7357
20190223,000000,3942.0200000,4156.1000000,3911.3000000,4110.0000000,10371
20190224,000000,4110.0000000,4188.7900000,3712.8400000,3734.2200000,15914
20190225,000000,3734.2300000,3860.0000000,3731.0900000,3818.7900000,10807
20190226,000000,3818.7800000,3826.3700000,3763.7100000,3799.4800000,6216
20190227,000000,3799.4900000,3823.1300000,3655.0000000,3799.9100000,7774
20190228,000000,3800.3500000,3910.0000000,3754.3700000,3792.1400000,9386
20190301,000000,3792.1400000,3843.0000000,3791.3100000,3806.1700000,6023
20190302,000000,3806.1700000,3818.0800000,3763.0000000,3809.7000000,3521
20190303,000000,3809.7000000,3815.4800000,3763.6200000,3786.9300000,3725
