                                                                                      support  length  time
((1, (3,)), (9, (3,)), (20, (3,)), (27, (2,)))                                             57       4     1
((9, (4,)), (17, (3,)), (21, (4,)), (23, (3,)))                                            56       4     1
((3, (2,)), (17, (2,)), (24, (2,)))                                                        56       3     1
((1, (2,)), (13, (2,)), (15, (3,)))                                                        56       3     1
((0, (1,)),)                                                                               56       1     1
((15, (2,)), (21, (2,)))                                                                   56       2     1
((8, (1,)),)                                                                               56       1     1
((6, (4,)), (22, (2,)), (27, (3,)))                                                        55       3     1
((3, (3,)), (10, (3,)), (18, (2,)), (24, (2,)))                                            55       4     1
((14, (4,)), (21, (3,)), (22, (2,)))                                                       55       3     1
((11, (2,)), (20, (4,)), (27, (3,)))                                                       55       3     1
((8, (3,)), (13, (3,)), (23, (3,)), (25, (2,)))                                            55       4     1
((0, (4,)), (1, (3,)), (7, (2,)))                                                          55       3     1
((11, (5,)),)                                                                              54       1     1
((9, (3,)), (17, (2,)), (27, (2,)))                                                        54       3     1
((5, (2,)), (14, (4,)))                                                                    53       2     1
((11, (4, 3)), (20, (4,)))                                                                 53       3     2
((7, (4,)), (23, (4,)))                                                                    53       2     1
((0, (4,)), (2, (4,)), (24, (4,)))                                                         53       3     1
((2, (2,)), (3, (2,)), (27, (2,)))                                                         53       3     1
((4, (3,)), (11, (3, 3)), (27, (3,)))                                                      53       4     2
((1, (3,)), (2, (3,)), (12, (3,)), (15, (3,)))                                             53       4     1
((7, (2,)), (16, (2,)), (24, (2,)), (26, (3,)))                                            53       4     1
((4, (1,)), (17, (2,)))                                                                    52       2     1
((3, (4,)), (18, (2,)), (24, (3,)))                                                        52       3     1
((2, (4,)), (3, (4,)), (22, (4,)))                                                         52       3     1
((2, (2,)), (6, (3, 3)))                                                                   52       3     2
((10, (2,)), (25, (2,)), (26, (3,)))                                                       52       3     1
((7, (3,)), (13, (4, 3)), (15, (4,)))                                                      52       4     2
((10, (2,)), (15, (4,)), (20, (4,)))                                                       51       3     1
((15, (2,)), (18, (1,)))                                                                   51       2     1
((9, (2,)), (23, (2,)), (27, (2,)))                                                        51       3     1
((12, (3,)), (27, (4,)))                                                                   51       2     1
((5, (2,)), (8, (3,)), (14, (3,)))                                                         51       3     1
((6, (3,)), (16, (2,)), (21, (2,)))                                                        51       3     1
((7, (4,)), (26, (4,)))                                                                    51       2     1
((8, (4,)), (9, (3,)), (17, (3,)), (25, (3,)))                                             51       4     1
((18, (3,)), (20, (4,)), (24, (3, 2)))                                                     51       4     2
((14, (3,)), (18, (2, 3)), (25, (2,)))                                                     50       4     2
((6, (4,)), (9, (3,)), (17, (4,)))                                                         50       3     1
((0, (2,)), (3, (2,)), (15, (3,)))                                                         50       3     1
((3, (4,)), (16, (4,)), (21, (4,)))                                                        50       3     1
((4, (2,)), (26, (3,)), (27, (2,)))                                                        49       3     1
((8, (4,)), (9, (4,)), (22, (2,)))                                                         49       3     1
((10, (1,)), (22, (1,)), (27, (1,)))                                                       49       3     1
((16, (3,)), (18, (3,)), (21, (3,)), (23, (3,)))                                           48       4     1
((13, (5,)),)                                                                              48       1     1
((14, (2,)), (21, (3,)), (22, (2,)))                                                       48       3     1
((12, (3,)), (14, (4,)), (20, (4,)), (22, (3,)), (27, (3,)))                               48       5     1
((10, (2,)), (18, (2,)), (24, (2, 3)))                                                     48       4     2
((10, (4,)), (21, (4,)), (22, (4,)), (27, (4,)))                                           47       4     1
((1, (1,)), (26, (1,)))                                                                    47       2     1
((8, (3,)), (21, (3,)), (22, (2,)), (23, (2,)))                                            47       4     1
((7, (2,)), (16, (3,)), (19, (3, 3)))                                                      47       4     2
((7, (4,)), (16, (4,)))                                                                    46       2     1
((9, (5,)), (15, (5,)))                                                                    46       2     1
((3, (2,)), (6, (3,)), (10, (2,)))                                                         46       3     1
((18, (4,)), (26, (4,)))                                                                   46       2     1
((2, (1,)), (10, (1,)))                                                                    46       2     1
((0, (3,)), (8, (3,)), (23, (4,)))                                                         46       3     1
((16, (2,)), (19, (2,)), (20, (2,)))                                                       45       3     1
((0, (5,)),)                                                                               45       1     1
((0, (2,)), (8, (2,)), (9, (2,)))                                                          45       3     1
